filename,path,noise_fn,croissant_count,slipper_count,object_count,lines,artifacts,channel_state
0000.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0000.png,salt_pepper,1.0,1.0,0.0,True,True,lighten_channel
0001.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0001.png,none,1.0,1.0,1.0,False,False,normal
0002.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0002.png,random,1.0,2.0,0.0,True,True,lighten_channel
0003.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0003.png,random,2.0,1.0,0.0,True,True,darken_channel
0004.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0004.png,gaussian,1.0,2.0,0.0,False,True,lighten_channel
0005.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0005.png,salt_pepper,1.0,2.0,1.0,True,False,normal
0006.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0006.png,none,1.0,1.0,0.0,True,False,darken_channel
0007.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0007.png,salt_pepper,1.0,1.0,1.0,False,True,lighten_channel
0008.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0008.png,gaussian,1.0,1.0,1.0,True,True,normal
0009.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0009.png,random,2.0,2.0,0.0,True,False,lighten_channel
0010.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0010.png,none,1.0,2.0,0.0,False,True,normal
0011.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0011.png,random,1.0,1.0,0.0,False,True,lighten_channel
0012.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0012.png,gaussian,1.0,1.0,0.0,True,False,normal
0013.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0013.png,none,1.0,2.0,1.0,True,True,darken_channel
0014.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0014.png,none,2.0,1.0,0.0,True,False,darken_channel
0015.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0015.png,random,1.0,2.0,0.0,True,False,normal
0016.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0016.png,random,2.0,2.0,1.0,True,True,lighten_channel
0017.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0017.png,random,2.0,2.0,0.0,False,False,darken_channel
0018.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0018.png,none,2.0,2.0,1.0,True,True,normal
0019.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0019.png,random,1.0,1.0,0.0,True,True,normal
0020.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0020.png,random,1.0,2.0,0.0,False,True,darken_channel
0021.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0021.png,none,1.0,2.0,2.0,False,False,normal
0022.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0022.png,none,1.0,1.0,0.0,False,True,darken_channel
0023.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0023.png,gaussian,1.0,1.0,1.0,False,True,darken_channel
0024.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0024.png,none,1.0,1.0,0.0,False,True,lighten_channel
0025.png,./data/constructed_datasets/copy_paste_microfluidic/train/images/0025.png,random,1.0,1.0,0.0,True,True,normal
