filename,path,noise_fn,croissant_count,slipper_count,object_count,lines,artifacts
0000.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0000.png,salt_pepper,4.0,3.0,4.0,True,True
0001.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0001.png,salt_pepper,3.0,3.0,3.0,True,True
0002.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0002.png,random,4.0,3.0,3.0,True,False
0003.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0003.png,salt_pepper,4.0,3.0,4.0,False,True
0004.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0004.png,gaussian,3.0,4.0,3.0,False,True
0005.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0005.png,gaussian,3.0,3.0,3.0,False,False
0006.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0006.png,gaussian,4.0,4.0,4.0,True,False
0007.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0007.png,gaussian,3.0,3.0,2.0,True,True
0008.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0008.png,gaussian,3.0,4.0,4.0,True,True
0009.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0009.png,none,3.0,4.0,3.0,True,False
0010.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0010.png,none,4.0,3.0,3.0,True,True
0011.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0011.png,none,3.0,3.0,4.0,True,False
0012.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0012.png,gaussian,3.0,4.0,4.0,True,False
0013.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0013.png,random,3.0,4.0,4.0,False,False
0014.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0014.png,random,3.0,3.0,3.0,True,True
0015.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0015.png,random,3.0,4.0,2.0,False,True
0016.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0016.png,none,3.0,4.0,3.0,False,False
0017.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0017.png,none,3.0,4.0,4.0,True,False
0018.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0018.png,gaussian,4.0,3.0,3.0,True,False
0019.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0019.png,random,3.0,3.0,3.0,True,False
0020.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0020.png,gaussian,3.0,4.0,3.0,False,True
0021.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0021.png,random,4.0,3.0,4.0,True,False
0022.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0022.png,salt_pepper,4.0,3.0,3.0,False,True
0023.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0023.png,gaussian,4.0,4.0,3.0,False,True
0024.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0024.png,salt_pepper,4.0,4.0,3.0,True,False
0025.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0025.png,random,4.0,3.0,3.0,True,False
0026.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0026.png,gaussian,4.0,3.0,4.0,False,True
0027.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0027.png,gaussian,4.0,3.0,2.0,False,False
0028.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0028.png,gaussian,3.0,3.0,3.0,True,True
0029.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0029.png,none,3.0,3.0,4.0,True,True
0030.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0030.png,random,3.0,4.0,3.0,False,False
0031.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0031.png,salt_pepper,4.0,4.0,3.0,True,False
0032.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0032.png,none,4.0,4.0,3.0,True,False
0033.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0033.png,none,4.0,3.0,4.0,False,False
0034.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0034.png,random,3.0,3.0,3.0,False,True
0035.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0035.png,none,4.0,3.0,3.0,True,False
0036.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0036.png,none,4.0,3.0,3.0,True,False
0037.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0037.png,salt_pepper,4.0,3.0,3.0,False,True
0038.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0038.png,random,4.0,3.0,3.0,True,True
0039.png,./data/constructed_datasets/copy_paste_random_pos/train/images/0039.png,gaussian,3.0,3.0,4.0,True,False
