epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.296,0.89981,0.70532,0.89178,0.98551,0.98426,0.99412,0.78716,0.82021,0.43447,0.85206,0.000474428,0.000474428,0.000474428
2,674.807,0.8003,0.44088,0.85895,0.99341,0.98997,0.99471,0.81524,0.74008,0.3974,0.8365,0.000903699,0.000903699,0.000903699
3,1008.46,0.75588,0.41889,0.85134,0.99341,0.98902,0.99454,0.84185,0.65264,0.34385,0.82235,0.00128581,0.00128581,0.00128581
4,1342.71,0.73176,0.39908,0.84592,0.99569,0.99217,0.9948,0.8495,0.634,0.32307,0.81654,0.00121679,0.00121679,0.00121679
5,1676.9,0.70287,0.38245,0.84185,0.99358,0.98874,0.99467,0.84845,0.63539,0.32867,0.81438,0.00114606,0.00114606,0.00114606
6,2010.43,0.68933,0.37171,0.8407,0.9952,0.99277,0.9949,0.85526,0.61615,0.31437,0.81152,0.00107532,0.00107532,0.00107532
7,2344.05,0.68122,0.36381,0.83805,0.99602,0.99433,0.99492,0.8588,0.59662,0.3023,0.8074,0.00100459,0.00100459,0.00100459
8,2679.84,0.65456,0.34836,0.83599,0.99624,0.99579,0.99487,0.86114,0.60399,0.28828,0.80938,0.000933851,0.000933851,0.000933851
9,3015.63,0.64868,0.34312,0.83337,0.99006,0.98919,0.99476,0.85377,0.62113,0.29951,0.81323,0.000863116,0.000863116,0.000863116
10,3351.51,0.63858,0.33548,0.83308,0.99588,0.99473,0.99494,0.84832,0.65939,0.30128,0.81608,0.00079238,0.00079238,0.00079238
11,3685.37,0.60436,0.31076,0.82421,0.9966,0.99619,0.99494,0.88798,0.53536,0.26331,0.79682,0.000721645,0.000721645,0.000721645
12,4020.21,0.59311,0.30333,0.82275,0.99651,0.99635,0.99496,0.88598,0.53273,0.26603,0.7967,0.000650909,0.000650909,0.000650909
13,4353.08,0.57983,0.29456,0.81972,0.99681,0.99597,0.99493,0.88041,0.55277,0.26978,0.79856,0.000580174,0.000580174,0.000580174
14,4686.28,0.57339,0.28616,0.8189,0.99505,0.99326,0.99493,0.8805,0.55336,0.26557,0.80007,0.000509438,0.000509438,0.000509438
15,5018.97,0.56123,0.27777,0.81674,0.99433,0.99356,0.99493,0.88979,0.52294,0.2484,0.79499,0.000438703,0.000438703,0.000438703
16,5352.8,0.54816,0.27059,0.81621,0.99695,0.99661,0.99496,0.89248,0.51548,0.24003,0.79461,0.000367967,0.000367967,0.000367967
17,5686.37,0.5473,0.26474,0.81396,0.99662,0.99684,0.99496,0.88827,0.5339,0.23814,0.79749,0.000297232,0.000297232,0.000297232
18,6019.69,0.53313,0.25687,0.8138,0.99651,0.99594,0.99497,0.89689,0.50577,0.23055,0.79311,0.000226497,0.000226497,0.000226497
19,6353.76,0.5242,0.25151,0.80961,0.9976,0.99671,0.99498,0.90456,0.48508,0.21803,0.79009,0.000155761,0.000155761,0.000155761
20,6688.12,0.51507,0.24381,0.81024,0.99742,0.99635,0.99498,0.90234,0.49637,0.21784,0.79151,8.50255e-05,8.50255e-05,8.50255e-05
